,Accuracy,Balanced Accuracy,Precision (macro),Recall (macro),F1 (macro),F1 (weighted)
Tuned RF (Sec 23),0.6994,0.5491,0.5532,0.5491,0.548,0.705
Logistic Regression,0.7307,0.5392,0.5714,0.5392,0.5453,0.7197
Class-weighted RF (Sec 19),0.7098,0.5241,0.5509,0.5241,0.5299,0.7019
SMOTE RF (Sec 19),0.6806,0.5178,0.5303,0.5178,0.5219,0.6812
Random Forest,0.7056,0.5132,0.542,0.5132,0.5159,0.6965
Decision Tree,0.5678,0.4263,0.4118,0.4263,0.4155,0.5837
Dummy (majority class),0.5073,0.2,0.1015,0.2,0.1346,0.3415
